Line #,Fitted,Rev,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer 2,Manufacturer Part Number 2
"39","Fitted","","NTK3043NT1G","N-Channel 20V 210mA (Ta) 310mW (Ta) Surface Mount SOT-723","U8","1","ON Semiconductor","NTK3043NT1G","",""
"40","Fitted","","PUSB3AB4Z","TVS DIODE 3.3V 5V DFN2510A-10","U6, U7","2","Nexperia","PUSB3AB4Z","",""
"41","Fitted","","RB751S40T1G","Diode Schottky 30V 30mA (DC) Surface Mount SOD-523","D1","1","ON Semiconductor","RB751S40T1G","",""
"42","Fitted","","RES4T 0.05 OHM 0.5% 1/2W 1206","50 mOhms ±0.5% 0.5W, 1/2W Chip Resistor 1206 (3216 Metric) Current Sense","R28","1","Ohmite","LVK12R050DER","Vishay Dale","WSK1206R0500FEA18"
"43","Fitted","","RES 0 OHM JUMPER 1/16W 0402","0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R7, R9, R54, R57","4","Vishay","CRCW04020000Z0ED","",""
"43","Not Fitted","","RES 0 OHM JUMPER 1/16W 0402","0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R53, R62, R63, R67, R73","0","Vishay","CRCW04020000Z0ED","",""
"44","Fitted","","RES 1.0K 1/16W 1% 0402","1 kOhms ±0.5% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thin Film","R36, R38","2","Panasonic","ERA-2AEB102X","",""
"45","Fitted","","RES 1.0M 1/4W 5% 1206","1 MOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Moisture Resistant Thick Film","R24","1","Yageo","RC1206JR-071ML","",""
"46","Not Fitted","","RES 1M 1/16W 1% 0402","1 MOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R8","0","Vishay","CRCW04021M00FKED","",""
"47","Fitted","","RES 1.8M 1/16W 1% 0402","1.8 MOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R35","1","Vishay","CRCW04021M80FKED","",""
"48","Fitted","","RES 4.7K 1/16W 1% 0402","4.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","R10, R11, R12, R13, R14, R15, R26, R59, R60","9","Vishay","CRCW04024K70FKED","",""
"49","Fitted","","RES 5.1M 1/16W 1% 0402","5.1 MOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric)","R43, R48","2","Vishay","CRCW04025M10FKED","",""
"50","Fitted","","RES 6.04 OHM 1/16W 1% 0402","6.04 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R41","1","Vishay Dale","CRCW04026R04FKED","",""
"51","Fitted","","RES 10 OHM 1/16W 1% 0402","10 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R5, R74","2","Vishay","CRCW040210R0FKED","",""
"52","Fitted","","RES 10K 1/16W 1% 0402","10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R3, R16, R17, R18, R19, R20, R21, R22, R27, R46, R51, R55, R56","13","Samsung","RC1005F103CS","",""
"52","Not Fitted","","RES 10K 1/16W 1% 0402","10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R23","0","Samsung","RC1005F103CS","",""
"55","Fitted","","RES 21.5K 1/16W 1% 0402","21.5 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R32","1","Vishay","CRCW040221K5FKED","",""
"56","Fitted","","RES 22K 1/16W 1% 0402","22 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R6, R25, R33, R52","4","Vishay","CRCW040222K0FKED","",""
"58","Fitted","","RES 47.5K 1/16W 1% 0402","47.5 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R34","1","Vishay","CRCW040247K5FKED","",""
"59","Fitted","","RES 100K 1/16W 0.5% 0402","100 kOhms ±0.5% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R39","1","Vishay Dale","CRCW0402100KDHEDP","",""
"60","Fitted","","RES 100K 1/16W 1% 0402","100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","R1, R2, R4, R30, R40, R42, R47","7","Vishay","CRCW0402100KFKED","",""
"60","Not Fitted","","RES 100K 1/16W 1% 0402","100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","R58, R68","0","Vishay","CRCW0402100KFKED","",""
"61","Fitted","","RES 200K 1/16W 1% 0402","200 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R29, R31, R37","3","Vishay Dale","CRCW0402200KFKTD","",""
"62","Fitted","","RES 220K 1/16W 1% 0402","220 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R45, R50, R61","3","Vishay","CRCW0402220KFKED","",""
"63","Not Fitted","","RES 330 OHM 1/16W 1% 0402","330 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R65, R66","0","Vishay","CRCW0402330RFKED","",""
"64","Fitted","","RES 470K 1/16W 1% 0402","470 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R44, R49","2","Vishay","CRCW0402470KFKED","",""
"65","Fitted","","SFV4R-2STE1HLF","4 Position FFC, FPC Connector Contacts, Top 0.020"" (0.50mm) Surface Mount, Right Angle","J3","1","Amphenol ICC / FCI","SFV4R-2STE1HLF","",""
"66","Fitted","","STM32H753VIT6","ARM® Cortex®-M7 STM32H7 Microcontroller IC 32-Bit 480MHz 2MB (2M x 8) FLASH 100-LQFP (14x14)","U2","1","STMicroelectronics","STM32H753VIT6","",""
"67","Not Fitted","","TPS3840DL27DBVR","Supervisor 2.7V Open Drain 1 Channel SOT-23-5","U3","0","Texas Instruments","TPS3840DL27DBVR","",""
"68","Fitted","","TPS61158DRVR","LED Driver IC 1 Output DC DC Regulator Step-Up (Boost) PWM Dimming 30mA 6-WSON (2x2)","U17","1","Texas Instruments","TPS61158DRVR","",""
"69","Fitted","","TPS61220DCKR","Boost Switching Regulator IC Positive Adjustable 1.8V 1 Output 200mA (Switch) 6-TSSOP, SC-88, SOT-363","U13","1","Texas Instruments","TPS61220DCKR","",""
"70","Fitted","","TPS63030DSKR","Buck-Boost Switching Regulator IC Positive Adjustable 1.2V 1 Output 900mA (Switch) 10-WFDFN Exposed Pad","U11","1","Texas Instruments","TPS63030DSKR","",""
"71","Fitted","","TPS79928YZUR","Linear Voltage Regulator IC  1 Output  200mA 5-DSBGA (1x1.37)","U21","1","Texas Instruments","TPS79928YZUR","",""
"72","Fitted","","XC6192AA05ER-G","Power Switch/Driver 1:1 P-Channel 400mA USP-8B06","U12","1","Torex","XC6192AA05ER-G","",""
